order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,total_price
88831d307a23183f48f92b32b07ac070,5a651c7fa178025ab3f9e391714c4de8,delivered,2017-11-13 14:01:24,2017-11-13 14:10:39,2017-11-16 09:36:58,2017-12-05 17:07:30,2017-12-06 00:00:00,41348c09a551501117e31f8a4149950c,28625,nova friburgo,RJ,1,30715b45872148dd5322eb2989228a43,4a3ca9315b744ce9f8e9374361493884,2017-11-20 14:10:39,61.8,16.19,77.99
04f22b756f6367772fe11035fe75391a,dac7ce5b52b7268338bc50764f9572d3,delivered,2018-05-09 09:46:08,2018-05-09 10:14:44,2018-05-14 13:52:00,2018-05-17 17:03:57,2018-05-25 00:00:00,047087496466767512a076091ea74126,18045,sorocaba,SP,1,cec09725da5ed01471d9a505e7389d37,4d6d651bd7684af3fffabd5f08d12e5a,2018-05-15 10:14:44,69.9,12.18,82.08000000000001
652e395eca81cbe843ef95202a101cf0,1da77576f75de6e11b97a887bf8b353a,delivered,2018-07-24 12:26:26,2018-07-24 13:24:22,2018-07-27 15:00:00,2018-07-30 20:51:13,2018-08-03 00:00:00,3a25d96d18de69b1f8e5b49ba4b5d05e,6473,barueri,SP,1,3e80acb0c96aaa71dfc8a128d3ba1eff,9674754b5a0cb32b638cec001178f799,2018-07-30 13:24:22,77.9,9.3,87.2
4bd68cb4a5f7a692f05af3eb298c4039,737e7f52d173df59ee17f5f0c6e86db2,delivered,2017-07-31 16:33:37,2017-08-02 02:35:05,2017-08-08 14:48:37,2017-08-14 11:54:03,2017-08-11 00:00:00,6b1549c509ef8c31aa1eaa92f318e5b8,13478,americana,SP,1,d3c044bd42d84a79e3b0c42662806a48,4c2b230173bb36f9b240f2b8ac11786e,2017-08-07 04:30:40,25.9,7.78,33.68
fd700d48d34b0b4f75767e4502c3fce2,54fbfd8234200d91cf277f159fdeae7f,delivered,2017-09-16 22:43:48,2017-09-17 01:10:11,2017-09-20 17:27:38,2017-10-09 22:33:46,2017-10-10 00:00:00,ceaeb6856a01f895484ff24d6d9140f3,40243,salvador,BA,1,5605e265607c01c1242a18219d7e396e,3771c85bac139d2344864ede5d9341e3,2017-09-21 01:10:11,59.9,19.66,79.56
c92a9fd680f588dcff7ff22fce0abbcc,3eebfdbd017a00f31af7809ddfc52cbc,delivered,2017-03-09 13:23:19,2017-03-09 13:23:19,2017-03-13 09:43:50,2017-03-17 14:42:03,2017-03-28 00:00:00,403d192b27efcef2c942515c32b09d57,13098,campinas,SP,1,052516c377ebbc53a39f053af1db08b4,c0563dd588b775f2e37747ef6ad6c92c,2017-03-15 13:23:19,139.9,12.37,152.27
1c67e99dc37224bf3ad220ae2368c068,f68313aa890cb1f32ea402439c6f1c4d,delivered,2017-06-08 22:00:07,2017-06-08 22:15:22,2017-06-12 09:38:14,2017-06-13 12:03:26,2017-06-23 00:00:00,2090a6ff83e24734f0663e29f976909c,24902,marica,RJ,1,a5190314b65b1f99d589e8fba9894639,9449f25aeaf531019b76999ea49a6949,2017-06-15 22:15:22,97.9,9.06,106.96000000000001
4af03386addb99dc44451b81b470a609,58e1ef40232ef2763c4a770d2cff4b49,delivered,2018-03-09 11:32:48,2018-03-09 11:55:44,2018-03-09 23:57:02,2018-03-11 14:06:26,2018-03-21 00:00:00,93603747aa73507db172820142fb3b81,9820,sao bernardo do campo,SP,1,f12a26f5ddd49ba9e1bf0ec9d0239326,b499c00f28f4b7069ff6550af8c1348a,2018-03-15 11:55:44,29.99,8.64,38.629999999999995
289cbae847c6623b3a488df45f472c66,7ca8e352c87e204812761e7dc7f8fa54,delivered,2017-09-21 22:00:29,2017-09-21 22:48:18,2017-09-25 14:04:34,2017-10-10 18:28:03,2017-10-18 00:00:00,f3705cea51b431dfb87a53e0220b78fa,89211,joinville,SC,1,35afc973633aaeb6b877ff57b2793310,4a3ca9315b744ce9f8e9374361493884,2017-09-27 22:48:18,89.9,17.88,107.78
317ec820fae6ec9ca71bd677229fcb78,e4142014a0a938c8b826a6c1cecdd46c,delivered,2017-02-18 15:02:01,2017-02-18 15:15:17,2017-02-20 12:00:27,2017-03-10 13:39:17,2017-03-17 00:00:00,17f5f0bf8f88906f32ce44c5f564cb49,5203,sao paulo,SP,1,efce86e8447765eda9f3db06491e819a,391fc6631aebcf3004804e51b40bcf1e,2017-02-22 14:02:01,39.99,11.74,51.730000000000004
4c64f4f7a59f7092060cce91b033d7a9,5174e3dad6d593069f1fa575d9310e6d,delivered,2018-07-24 19:52:02,2018-07-26 05:35:14,2018-07-26 15:31:00,2018-07-30 14:58:34,2018-08-13 00:00:00,7995500ad11496d8d7686bf3381d3f86,3659,sao paulo,SP,1,6cdd53843498f92890544667809f1595,ccc4bbb5f32a6ab2b7066a4130f114e3,2018-07-31 05:35:14,364.0,18.74,382.74
837bf2d48f18fc4d6e2e32cac9941960,c8d7c9a0047bba418f7a0ea9eda4976e,delivered,2018-05-26 12:46:18,2018-05-26 13:10:56,2018-05-28 15:12:00,2018-06-08 23:05:22,2018-07-13 00:00:00,6e08abf5cfb67eeea9e48463da288788,13835,conchal,SP,1,af34cea61340203305a39885c8331b01,77530e9772f57a62c906e1c21538ab82,2018-06-04 13:10:56,119.0,43.41,162.41
